Gender,Generation,Term Sub Reason,Employee Grade,Location,Career Bucket,Age Bucket,Manager ID,Talent,Department,active_months,,,,,,
1,2,7,1,1,2,1,101200,5,52,15,,,,,,
0,2,1,2,1,3,4,101693,5,21,77,,,,,,
0,2,13,2,1,2,3,100291,5,20,17,,,,,,
1,2,3,2,1,3,4,100296,5,20,50,,,,,,
0,2,1,1,1,2,2,100395,5,3,13,,,,,,
0,2,14,1,1,2,1,100515,5,30,20,,,,,,
0,2,11,2,2,3,4,101251,5,33,7,,,,,,
0,2,1,1,1,2,3,101491,5,26,21,,,,,,
0,3,11,2,1,3,7,101701,5,21,141,,,,,,
0,3,3,2,1,3,6,102586,5,6,103,,,,,,
1,2,1,1,1,2,2,100416,5,3,5,,,,,,
0,2,14,1,1,2,2,100515,5,30,19,,,,,,
0,3,14,2,1,3,4,100605,5,7,140,,,,,,
1,2,14,1,1,2,3,100726,5,7,113,,,,,,
1,1,4,1,1,2,1,101413,5,48,6,,,,,,
0,2,14,1,3,2,3,101743,5,50,71,,,,,,
0,2,14,1,1,2,1,100904,5,4,30,,,,,,
0,3,1,2,1,3,4,100332,5,20,15,,,,,,
0,2,11,2,1,3,4,101224,5,32,37,,,,,,
0,2,1,1,1,2,2,100941,5,7,17,,,,,,
0,3,1,2,1,3,5,100754,5,7,102,,,,,,
0,2,11,1,1,2,2,101180,5,52,15,,,,,,
0,2,11,1,1,2,2,102041,5,52,25,,,,,,
1,2,11,1,1,2,2,102041,5,52,29,,,,,,
0,3,14,2,4,3,6,101096,5,12,129,,,,,,
0,2,1,2,1,3,4,101424,5,48,93,,,,,,
0,3,9,2,1,3,4,101491,5,26,116,,,,,,
0,3,11,2,1,3,5,101540,5,26,140,,,,,,
0,2,11,1,1,2,3,101568,5,15,109,,,,,,
0,2,11,2,1,3,4,100629,5,51,127,,,,,,
1,2,14,1,1,2,1,100395,5,3,2,,,,,,
0,2,14,2,1,2,2,100941,5,7,50,,,,,,
0,2,11,1,1,2,2,101200,5,52,43,,,,,,
0,2,14,1,1,2,2,100179,5,26,55,,,,,,
0,2,1,2,1,3,4,101616,5,15,57,,,,,,
0,3,11,2,1,3,4,101696,5,21,111,,,,,,
0,3,11,2,1,3,6,101696,5,21,145,,,,,,
1,2,11,1,1,2,1,100243,5,54,6,,,,,,
1,2,14,1,1,2,2,100291,5,20,38,,,,,,
0,2,11,1,1,2,3,100395,5,3,69,,,,,,
0,2,11,2,1,2,3,100439,5,3,15,,,,,,
1,2,11,1,1,2,3,102041,5,52,30,,,,,,
1,2,14,1,1,2,2,101430,5,48,80,,,,,,
0,2,14,1,1,2,2,100515,5,30,27,,,,,,
1,2,5,1,1,2,2,100633,5,34,45,,,,,,
0,2,11,2,1,3,3,100754,5,7,15,,,,,,
